"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"LINC00309" 7.15533798275939 -1.12950756176647 5.57143908253483 0.0013993380899742 0.0655940707655654 -4.58486988673408
"P2RY13" 7.69879769916634 5.09897868294431 5.51660031157786 0.00147255077283348 0.0655940707655654 -4.58490992958181
"IFNL1" 7.18110313307944 -0.748142189523345 5.4050447127052 0.00163535914756458 0.0655940707655654 -4.58499432137372
"PAX3" 7.18110313307944 -0.748142189523345 5.4050447127052 0.00163535914756458 0.0655940707655654 -4.58499432137372
"CCL4" 8.11447810122325 9.92117389600812 5.39539830418883 0.00165037437472353 0.0655940707655654 -4.58500180945286
"LMO1" 7.379067471245 -1.81012406788424 5.3860749231651 0.00166503601113341 0.0655940707655654 -4.58500907626781
"STAP1" 6.72565130402186 3.72350374191697 5.32610847474473 0.00176295621685934 0.0655940707655654 -4.5850565176095
"FFAR2" 6.76972205702622 6.12060414510147 5.294751494873 0.00181675696267884 0.0655940707655654 -4.58508181777371
"LINC00659" 6.82929963446954 -1.29252673591139 5.17729463345082 0.00203554403136242 0.0655940707655654 -4.58517970653564
"IFI6" 6.52237982769286 10.1045371083558 5.15317425576041 0.00208409109744231 0.0655940707655654 -4.58520043674302
"CCDC140" 8.17154872160558 -1.41388344270395 5.14839744917203 0.00209386053993272 0.0655940707655654 -4.58520456821307
"FOS" -6.50041977413137 7.36586344053532 -5.13313072750596 0.00212543404764574 0.0655940707655654 -4.58521783063991
"PRL" 6.78685518567629 -0.945266163224917 5.08637059018536 0.00222555301940745 0.0655940707655654 -4.58525901012697
"CCL8" 6.56565205079227 8.31127373127677 5.08542670429684 0.00222762837105087 0.0655940707655654 -4.58525985012717
"CASP5" 6.42485437398513 4.02847160785006 5.02238250898805 0.00237134688446495 0.0655940707655654 -4.58531675625129
"FCER1G" 6.42843809896323 10.6334599786743 5.0139821123377 0.00239127895741004 0.0655940707655654 -4.58532445942918
"IL2RG" 6.85602861078185 9.13160732685142 4.97340790971095 0.00249026469657723 0.0655940707655654 -4.58536207352024
"CLEC4D" 6.82945127363775 4.70419520441698 4.96005692645287 0.00252384505232183 0.0655940707655654 -4.58537459975092
