"Series15_HealthyLungBiopsy_2" "Series15_HealthyLungBiopsy_1" "Series15_COVID19Lung_2" "Series15_COVID19Lung_1"
"UBE2J2" 5.94375007830718 5.54638370636636 1.05526147149119 2.70355786398533
"SCNN1D" 1.78712835277171 -1.69302639539723 -1.26666662339617 2.70355786398533
"ACAP3" 3.85751768066311 2.32114093652936 -1.26666662339617 2.70355786398533
"PUSL1" 2.66273749053452 2.76985252485853 1.05526147149119 2.70355786398533
"TAS1R3" 0.227040520689581 -2.77102890739851 -1.26666662339617 2.70355786398533
"DVL1" 4.21076498097675 4.46737583192657 0.318295877324987 2.70355786398533
"MXRA8" 5.94515621393593 2.38547557828149 1.90325837804614 2.70355786398533
"AURKAIP1" 6.8338016116893 5.93133620144727 4.22518647293351 4.28852036470649
"CCNL2" 8.21965209794549 7.44746705930532 0.318295877324987 5.02548595887269
"LOC148413" 4.10905644765907 3.56088327606148 1.54068829866143 2.70355786398533
"MRPL20" 6.48901486532543 6.12345205305022 1.90325837804614 6.40399758212642
"ANKRD65" 1.54155114401446 1.07027334658244 -1.26666662339617 2.70355786398533
"TMEM88B" -5.05836169817267 -5.94095390884082 -1.26666662339617 2.70355786398533
"VWA1" 5.90381133293704 3.09521970371267 4.15959813130593 2.70355786398533
"ATAD3C" 2.63512525932666 -0.986757598453943 1.54068829866143 2.70355786398533
"ATAD3B" 5.27814486163759 4.46737583192657 -1.26666662339617 2.70355786398533
"ATAD3A" 4.15838416002264 4.75688244912156 -1.26666662339617 2.70355786398533
"TMEM240" 1.09138542133201 -1.4173919527838 -1.26666662339617 2.70355786398533
"SSU72" 7.29781513234369 6.39527368064257 6.60985032316883 6.16298948262263
"MIB2" 3.58188323804968 2.31171152360943 -1.26666662339617 4.28852036470649
"MMP23B" -3.47339919745151 -5.94095390884082 -1.26666662339617 2.70355786398533
"MMP23A" -5.05836169817267 -5.94095390884082 -1.26666662339617 2.70355786398533
"CDK11B" 5.75622076773361 4.23022288881095 1.05526147149119 2.70355786398533
"SLC35E2B" 4.27479365213795 3.35596229803847 2.64022397221235 2.70355786398533
"CDK11A" 4.5095943772428 2.93249020367456 -1.26666662339617 2.70355786398533
"NADK" 6.29974000926818 5.49002126374725 6.64622271283379 7.09587528676409
"GNB1" 9.15405868970565 8.89000687235304 9.21815627086598 9.44502485038648
"CALML6" -2.25100677611506 -3.13359898678321 -1.26666662339617 2.70355786398533
"TMEM52" 0.227040520689581 -1.4173919527838 -1.26666662339617 2.70355786398533
"GABRD" 0.556348145942541 -3.61902581395346 -1.26666662339617 2.70355786398533
"PRKCZ" 4.63686659332308 4.07167063002424 -1.26666662339617 2.70355786398533
"SKI" 5.28260106607903 5.10821396353135 5.65219661387843 2.70355786398533
"MORN1" 1.81200302141074 -0.655551689978569 -1.26666662339617 2.70355786398533
"LOC100129534" -0.970898856922328 -0.811670891895851 -1.26666662339617 2.70355786398533
"RER1" 6.74536582838045 7.02861248844969 5.67584788194307 2.70355786398533
"PEX10" 3.26806778894964 0.773291608825305 -1.26666662339617 2.70355786398533
"PLCH2" -5.05836169817267 -0.896559789482364 -1.26666662339617 2.70355786398533
"PANK4" 4.17285948253852 5.04559924091584 -1.26666662339617 2.70355786398533
"HES5" -1.88843669673036 -0.986757598453943 -1.26666662339617 2.70355786398533
"TNFRSF14" 6.75421674596271 6.84183958989254 3.12565079938259 5.02548595887269
"FAM213B" 3.97230543807427 3.75427438265493 2.19276499524113 2.70355786398533
"MMEL1" 0.49622715350497 2.403341999075 -1.26666662339617 2.70355786398533
"TTC34" -5.05836169817267 -4.35599140811966 -1.26666662339617 2.70355786398533
"ACTRT2" -5.05836169817267 -5.94095390884082 -1.26666662339617 2.70355786398533
